1;330,330,153,190,5,1410,50,1331,1456,50,188,50,330,330,330,11,130,330,893,3,234,330,33,893,330,34,1487,621,76,329,76,190,388,621,188,50,210,1083,330,329,330,330,50,188,591,33,3,234,893,33,11,3,11,3,889,621,50,50,141,104,11,5,889,50,11,3,388,330,263,95
2;993,638,144,205,164
3;210,210,210,210,210,210,210,26,147,26,23,23,26,115,33,210,26,893,33,84,66,115,8,106,213,149,104,221,11,159,282,135,19,139,668,28,157,447,84,32,22,620,33,210,2346,321,2346,26,26,26,26,33,620,28,23,1346,23
4;231,231,15,28,134,448,10,696,16,619,1564,30,30,30,276,16,277,1564,9,619,283,288,288,619,216,1183,157,9,109,949,84,448,10,9,311,28,501,448,401,448,401,32,949,1630,1019,9,283,16,619,915,283,404,1265,1630,16,16,9,277,109,375,647,1183,98,655,404,109,915,181,1630,973,183,110,366,216,207,48,648,530,418,771,783,97,97,203,1630,578,242,203,695,203,578,1238,16,283,418,771,981,351,181,1630,288,98,308,22,9,288,288,71,477,71,16,1019,9,283,30,115,375,216,277,2468,499,422,110,10,216,277,1630,9,8,814,9,309,405,112,189,1451,713,181,1630,973,182,119,110,1564,27,786,648,28,448,696,16,790,241,351,1630,1630,203,578,578,578,695,1142,578,1142,578,185,288,447,28,84,23
5;
6;11,17,221,873,617,62,36,44,271,11,221,445,617,117,870,17,117,870,82,62,873,870,117,95,17,271,11,221,117,870,95,82,173,133,873,926,95,36,617,62,17,36,133,373,873,95,62,617,95,926,873,11,62,36,254,873,133,133,95,36,5
7;7,46,1045,1045,1045,1045,1598,549,838,1273,229,59,1045,1045,534,704,759,304,891,1184,704,46,578,203,273
8;29,137,69,69,84,24,209,24
9;115,16,283,109,8,35,121,501,277,106,157,134,35,672,24,22,8,109,69,29,16,283,16,69,121,21,21,443,16,21,109,16,283,501,24,109,335,698,48,1167,935,16,229,174,169,134,528,353,109,404,157,41,935,211,40,506,28,283,109,57,35,229,358
10;103,9,157,66,29,311,447,9,28,35,9,32,121,106,22,9,8,9,193,447,84,29,213,157,157,22,32,35,774,403,22,213,16,935,28,447,40,69,106,213,28,9,149,28,40,22,157,28,9,32,106,8,84,32,35
